CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Geography_Gujarat,Geography_Karnataka,Geography_Maharashtra,Geography_Tamil Nadu,Gender_Male
560,60,3,0.0,2,0,0,1286821.68,0,False,False,True,False,True
635,54,0,57403.07,1,1,1,1648210.0,0,False,False,False,False,False
313,34,6,376884.13,1,0,1,1368222.0,0,False,False,False,True,True
770,49,2,0.0,1,1,0,1293254.58,0,True,False,False,False,False
863,36,1,0.0,1,1,0,2082889.93,0,False,False,True,False,False
580,49,7,912090.67,1,1,1,596368.47,0,False,True,False,False,False
518,43,8,0.0,2,0,0,1165044.95,0,False,False,False,False,False
371,30,6,17672.31,1,1,1,1744253.95,0,False,False,True,False,True
355,24,5,0.0,2,1,0,2466605.61,0,False,False,True,False,False
509,32,9,1366868.88,2,1,1,1506393.2,0,False,False,False,False,True
592,62,5,438648.76,1,1,0,1456458.28,0,True,False,False,False,True
689,54,8,0.0,1,0,0,1358612.21,0,False,False,False,False,True
708,24,4,0.0,2,0,1,300387.28,0,False,True,False,False,True
703,40,4,0.0,2,1,0,1690029.96,0,False,False,False,True,False
868,48,1,717282.5,2,0,0,2416149.97,1,False,False,False,False,True
480,48,5,0.0,2,0,0,1856206.38,0,True,False,False,False,True
417,26,5,525824.21,1,1,1,921418.77,0,True,False,False,False,True
636,34,5,918923.41,1,0,0,1704085.61,0,False,False,False,False,True
523,55,3,1016038.47,2,1,1,1349085.21,0,False,True,False,False,False
616,21,6,1437914.73,1,1,0,1726522.74,0,False,False,False,False,True
635,39,8,194350.55,1,1,1,2494215.92,0,False,False,False,False,False
784,21,0,1351086.9,1,1,1,1594560.73,0,False,False,True,False,False
575,33,2,0.0,2,1,0,224666.52,0,False,True,False,False,False
558,28,9,427687.45,2,1,1,768319.72,0,False,True,False,False,True
592,38,8,304383.08,2,0,0,1162328.15,0,False,False,True,False,False
462,55,4,179166.63,1,1,1,341854.72,0,False,False,False,False,True
803,43,5,638466.27,2,1,1,1253565.31,0,True,False,False,False,False
810,46,7,0.0,4,1,0,1228456.79,0,False,False,True,False,True
827,61,8,856810.7,2,1,1,2214967.95,0,False,False,True,False,True
667,58,7,628041.88,2,0,1,849596.99,0,False,True,False,False,True
303,40,2,1029599.62,1,1,1,1126173.7,1,True,False,False,False,False
572,22,9,0.0,2,1,0,727722.31,0,False,False,True,False,True
490,46,0,0.0,1,1,1,2035266.5,0,False,False,False,True,True
397,56,4,0.0,1,1,1,2015558.26,0,False,False,False,True,True
835,45,6,0.0,1,0,1,2371869.76,0,False,False,True,False,False
557,50,1,833145.79,1,0,0,2109668.17,0,False,False,False,True,False
693,38,0,117545.2,2,1,0,2051253.28,0,False,False,False,False,True
848,27,3,0.0,2,0,1,727733.18,0,False,True,False,False,False
613,47,2,966107.77,2,0,0,1765783.4,1,False,True,False,False,True
729,31,3,1472770.49,1,1,0,277170.56,0,False,True,False,False,True
893,57,0,640335.78,2,1,1,231412.11,0,False,False,True,False,False
553,28,1,746102.77,2,1,1,885116.94,0,False,False,False,True,True
824,31,0,0.0,2,1,0,2196592.11,0,False,False,False,False,True
463,44,2,393376.58,1,1,1,819009.23,0,False,False,True,False,True
629,50,3,146048.89,1,1,1,2335262.69,1,False,False,True,False,True
804,50,0,962691.79,2,1,0,691590.48,0,False,True,False,False,True
648,35,5,112796.0,2,1,0,289976.46,0,False,False,False,True,True
835,55,1,0.0,2,1,0,1557923.07,0,False,False,True,False,True
480,59,9,0.0,1,0,0,2076321.79,1,False,True,False,False,True
838,44,4,1411080.2,2,1,0,1502547.23,0,False,False,True,False,True
756,28,7,1047681.01,1,0,0,1352241.56,0,False,True,False,False,True
373,63,3,0.0,1,0,1,1198347.47,1,False,False,True,False,True
439,62,4,417850.58,2,0,1,1841057.07,1,False,False,False,True,False
302,40,8,486754.56,2,1,1,2420325.79,0,False,False,False,False,True
564,61,1,0.0,2,1,1,908863.69,0,True,False,False,False,False
722,46,1,0.0,1,0,1,975242.8,0,False,False,True,False,False
841,44,5,119496.6,1,0,1,335196.85,0,False,False,False,False,False
868,42,5,992221.05,1,0,1,563331.95,0,False,False,True,False,True
713,25,2,0.0,1,1,1,1400470.88,0,True,False,False,False,True
619,35,8,1371269.05,2,0,1,911773.99,0,True,False,False,False,True
699,56,0,748494.01,2,1,0,2081762.97,0,False,False,False,False,False
419,57,2,0.0,2,1,1,1623407.03,0,False,False,False,True,True
719,49,7,965432.51,2,0,0,1876634.38,1,False,False,False,True,False
585,35,7,604785.44,2,1,1,1204718.7,0,False,True,False,False,False
345,47,3,1175329.79,2,1,1,411085.05,0,False,True,False,False,True
656,28,7,106780.72,1,0,0,1484667.44,0,False,False,True,False,True
379,49,9,882605.7,1,0,1,781305.73,0,False,False,True,False,False
703,39,7,0.0,1,1,0,1391786.75,0,True,False,False,False,True
761,51,0,0.0,2,1,0,438850.98,1,True,False,False,False,True
408,29,2,1336490.92,2,1,0,1987760.87,1,False,True,False,False,False
867,30,0,880273.51,2,0,0,1106579.91,0,False,False,False,False,True
520,57,1,0.0,2,0,1,1723186.4,1,False,False,False,False,False
537,30,3,586512.29,2,0,0,1322367.85,0,False,False,False,True,False
766,53,2,0.0,1,1,0,1262898.37,0,True,False,False,False,False
508,45,5,640743.95,1,1,0,1065970.89,0,True,False,False,False,True
489,24,4,0.0,1,1,0,1300088.34,0,False,False,False,True,True
425,25,4,0.0,3,1,0,1601475.91,0,False,True,False,False,True
771,43,9,760687.96,1,1,1,699942.79,0,False,False,True,False,True
382,59,6,287588.85,2,1,0,1837534.87,0,False,False,True,False,True
342,25,6,1048203.35,2,0,1,1306640.17,0,True,False,False,False,True
591,28,8,1298510.23,1,1,1,1610931.54,0,False,True,False,False,True
444,37,7,553104.2,2,1,0,1276432.09,0,False,False,True,False,True
481,21,2,1432299.17,2,1,1,559781.74,0,False,False,True,False,False
444,32,1,62393.74,2,0,1,940427.8,0,False,False,False,True,True
459,55,0,334412.16,2,1,0,970191.87,0,False,False,True,False,True
606,34,9,0.0,1,1,1,1120020.56,0,False,False,True,False,False
671,38,5,639555.58,2,1,1,920176.48,0,False,True,False,False,False
742,30,3,1191131.01,1,1,1,1745372.32,0,False,False,False,True,True
843,35,2,1331341.25,1,0,1,2486573.92,0,False,False,False,True,True
877,62,1,0.0,2,1,1,1818443.56,0,False,False,True,False,True
713,53,1,0.0,1,1,1,2404652.82,0,False,False,False,True,False
719,39,3,829682.32,2,1,0,1892835.37,0,False,False,True,False,False
561,54,0,0.0,1,1,0,1541006.59,1,False,False,False,False,False
304,45,5,0.0,2,1,0,1817133.35,0,False,False,False,True,True
611,36,9,34566.63,1,1,0,2074818.38,0,False,True,False,False,True
839,28,4,459187.89,2,0,0,2114091.33,0,False,False,False,True,True
358,55,9,162688.64,1,0,0,477490.72,0,False,False,False,True,False
598,41,8,0.0,1,1,0,1631143.86,0,False,True,False,False,False
349,39,1,1348870.46,2,1,0,551102.39,1,False,False,True,False,False
849,31,8,1021901.47,2,1,1,1873662.92,0,False,False,False,False,True
700,64,8,1489273.26,2,0,1,192832.17,0,False,False,False,False,True
582,31,9,871928.0,1,1,0,1667760.94,0,False,False,True,False,True
464,31,8,0.0,2,1,0,293557.95,0,True,False,False,False,False
562,42,9,1327589.62,2,0,0,2270524.41,0,False,False,False,False,False
593,41,9,316550.16,2,0,0,1906358.71,0,True,False,False,False,True
508,47,3,404130.69,1,0,0,2316280.64,0,False,True,False,False,True
606,38,4,989797.07,1,0,1,1305321.58,0,False,False,False,True,True
663,62,7,198754.19,2,1,1,186511.95,0,False,True,False,False,True
402,60,7,0.0,2,1,0,2347764.85,0,False,True,False,False,False
791,58,0,0.0,2,1,0,802976.21,0,False,True,False,False,True
698,50,9,0.0,2,1,1,956136.75,1,False,False,True,False,False
651,53,0,1198237.35,2,1,1,1463841.58,0,False,False,False,True,False
536,41,9,594462.05,1,0,0,683526.37,0,False,False,False,False,False
391,22,5,0.0,2,1,0,2406851.6,0,False,False,True,False,True
447,33,6,499457.5,2,1,1,480806.94,0,False,True,False,False,False
328,22,1,539756.25,1,0,0,954954.17,0,False,False,True,False,True
315,63,1,1176445.97,2,0,0,2411535.49,0,True,False,False,False,True
700,51,4,648685.16,2,1,0,2479978.51,0,True,False,False,False,True
505,30,8,1071804.99,2,0,1,1668415.86,0,True,False,False,False,True
317,43,4,1111007.32,1,1,0,2000361.3,0,False,False,False,False,True
476,42,7,0.0,2,1,1,1518398.79,0,False,False,True,False,True
740,49,7,685688.97,2,1,0,1257052.48,1,True,False,False,False,False
830,53,4,0.0,1,1,0,981698.17,0,False,False,False,False,True
369,51,7,984344.95,2,1,0,725882.38,1,True,False,False,False,False
821,34,7,0.0,4,1,1,797234.15,0,True,False,False,False,False
556,30,4,441115.17,2,0,1,1310260.94,0,True,False,False,False,True
556,38,4,801679.59,3,1,1,2368407.28,0,False,False,False,False,False
858,31,3,988744.64,2,1,0,2198453.4,0,False,False,False,False,True
529,59,0,819106.56,1,1,1,939463.39,0,True,False,False,False,True
517,23,8,27457.6,1,0,1,2388846.91,0,False,False,False,False,True
463,22,1,1489800.6,2,1,0,545555.18,1,False,False,True,False,False
691,28,0,1136692.53,1,1,0,1440104.74,0,False,True,False,False,True
352,51,5,0.0,2,1,0,1779590.82,1,True,False,False,False,False
774,28,4,1142174.28,1,1,0,2365013.1,1,False,False,False,True,True
303,63,0,0.0,3,0,1,726018.77,1,False,True,False,False,False
860,22,6,903237.24,1,1,0,894541.63,0,False,False,True,False,True
496,42,6,938790.56,2,1,0,451382.26,0,False,True,False,False,False
374,25,2,246070.49,2,0,1,960036.3,0,True,False,False,False,False
504,27,7,0.0,2,0,0,2123368.54,0,False,False,True,False,False
895,40,5,884194.61,1,0,0,1145017.98,0,False,True,False,False,False
845,48,3,0.0,2,0,0,2473928.16,1,True,False,False,False,False
652,33,9,1467226.23,1,0,0,1100221.91,0,False,False,False,True,True
825,22,9,0.0,1,0,1,1845124.9,0,False,False,False,True,True
631,52,9,0.0,2,1,0,1107336.69,0,False,False,False,True,True
502,46,2,0.0,2,0,0,732972.78,1,False,False,False,False,True
537,23,0,27778.24,2,1,0,593457.87,0,False,False,False,False,True
701,61,1,1026449.07,2,1,0,583054.65,1,False,False,False,True,True
688,62,1,0.0,1,0,0,1678662.54,0,False,False,False,True,True
366,33,4,1077273.54,1,1,1,350659.95,0,True,False,False,False,False
449,41,3,997536.61,1,1,0,1661097.03,0,True,False,False,False,True
433,57,1,897462.75,2,0,1,1143840.01,1,False,True,False,False,False
710,43,8,0.0,2,1,1,1718260.0,0,False,True,False,False,True
512,27,6,0.0,1,1,1,231451.88,0,False,False,False,True,False
848,37,7,0.0,1,1,1,499392.59,0,False,True,False,False,False
800,48,7,0.0,1,1,1,2204207.62,0,False,False,False,True,True
525,50,1,954328.47,2,1,0,2499795.79,1,False,False,False,True,True
682,25,4,1388962.96,1,0,0,2133711.07,0,True,False,False,False,True
847,44,2,661282.76,2,0,0,471648.12,0,False,False,False,False,True
488,27,9,0.0,1,1,1,646836.92,0,False,False,False,False,False
517,54,8,938244.45,2,0,0,589022.22,1,False,False,True,False,False
679,62,8,268401.91,1,1,0,2193221.34,0,False,True,False,False,True
475,53,5,0.0,1,1,0,2098806.06,0,False,False,True,False,True
510,47,3,0.0,2,0,0,1134623.87,0,False,True,False,False,True
642,34,7,581869.16,2,0,1,467643.81,0,False,True,False,False,True
787,39,4,0.0,2,0,0,2241480.44,0,False,False,False,False,False
646,58,2,699321.63,1,1,1,1530376.96,0,False,True,False,False,True
622,32,7,1189045.07,2,1,1,2446873.21,0,False,False,True,False,True
793,23,5,205034.07,1,1,0,834682.46,0,False,False,True,False,True
786,27,4,556287.51,2,0,0,266763.25,0,False,False,False,True,True
376,55,0,1419251.94,1,1,0,2458969.19,0,False,False,False,False,False
302,45,2,1159053.42,1,1,1,999012.43,0,False,False,True,False,True
837,35,6,0.0,1,1,1,1219832.24,0,False,True,False,False,False
752,39,2,0.0,1,0,0,382107.58,0,False,False,False,True,False
302,39,0,0.0,1,1,0,1555828.6,0,False,False,True,False,True
538,43,7,578891.85,2,1,1,783406.23,0,False,True,False,False,True
543,31,6,0.0,1,0,0,1760626.65,1,False,False,True,False,False
726,41,4,255104.3,1,1,1,1943320.68,0,False,False,True,False,False
841,54,9,435858.55,1,1,1,847494.22,1,False,True,False,False,False
642,59,4,550975.02,1,0,1,1204253.46,0,False,True,False,False,True
701,27,5,381238.74,1,1,0,980432.41,0,False,True,False,False,False
816,62,6,868123.86,1,0,0,2451415.66,0,False,False,False,True,True
556,64,2,0.0,1,1,0,2147773.75,1,True,False,False,False,False
363,47,3,0.0,2,0,1,1157528.45,0,False,True,False,False,False
441,43,0,976233.21,2,1,0,1371773.48,0,False,False,False,False,True
596,58,6,704014.45,2,0,0,2462933.34,0,False,False,False,True,False
372,40,9,0.0,2,1,1,811212.27,0,False,False,False,False,True
714,47,1,1340456.08,3,0,1,2233748.81,1,False,False,False,False,False
421,28,6,279088.68,1,1,0,2364458.91,0,False,False,True,False,True
614,57,5,609651.74,1,0,1,1247150.21,1,False,False,True,False,False
749,23,3,730307.59,3,0,0,754447.29,1,True,False,False,False,True
861,22,1,0.0,2,0,1,540295.71,0,False,False,False,True,False
493,42,6,0.0,2,1,0,348877.62,0,False,False,False,True,True
825,26,6,198266.52,2,1,0,601456.53,0,False,False,False,False,True
698,59,4,1124724.84,2,0,0,961137.78,0,False,False,True,False,True
580,60,8,335453.03,2,1,1,1974491.32,0,False,False,True,False,False
757,56,2,0.0,2,1,0,1081000.78,1,False,False,False,False,True
647,64,8,162987.85,1,1,0,1022905.23,1,False,True,False,False,True
819,44,4,1480139.0,2,0,1,2139143.91,0,False,False,False,True,True
677,32,1,1392336.65,2,1,1,1559292.81,0,False,False,False,True,False
739,37,8,0.0,2,1,1,1247538.18,0,False,False,False,False,True
800,42,0,50329.17,1,0,0,1640522.14,0,True,False,False,False,True
383,39,0,306183.58,2,0,0,1479813.85,0,False,False,False,True,True
341,29,6,853867.0,1,1,1,1211042.14,0,False,True,False,False,True
568,32,2,0.0,3,1,1,1107132.33,0,False,True,False,False,True
830,52,7,1103467.76,2,0,0,2233160.62,0,False,False,False,False,True
333,51,6,0.0,1,1,1,607777.94,0,False,False,True,False,False
773,37,6,1034649.7,2,0,0,546032.77,0,False,False,False,False,False
473,43,0,0.0,2,1,1,2037734.54,0,False,False,False,True,True
672,30,0,473822.78,1,1,0,459768.87,0,False,False,True,False,True
805,50,1,1035808.0,1,1,0,2429949.9,0,False,False,True,False,False
484,39,1,379817.48,1,1,1,827230.28,0,False,False,True,False,True
499,46,4,969310.79,2,1,1,2159598.38,1,False,False,True,False,False
432,46,8,920177.08,1,1,1,1681401.83,1,True,False,False,False,True
342,31,6,0.0,2,0,0,2057174.83,0,False,False,False,True,True
403,40,1,801647.97,1,1,1,1107370.59,0,False,True,False,False,True
316,24,4,412471.12,1,1,1,651323.99,0,False,False,True,False,False
388,32,4,305571.31,1,1,1,2379632.43,0,False,True,False,False,True
789,45,7,0.0,1,0,1,2005453.1,0,False,True,False,False,True
460,30,8,1456404.25,2,1,0,528114.71,0,False,False,True,False,True
853,42,7,0.0,3,0,0,1206953.03,0,False,False,False,False,False
355,27,1,579625.91,1,1,1,946557.37,0,False,False,False,False,False
893,44,3,0.0,1,1,0,538789.72,0,False,True,False,False,True
493,22,1,424765.53,3,1,1,1554438.73,0,False,True,False,False,True
764,52,5,325956.34,1,1,1,1896426.18,1,False,False,True,False,False
368,41,3,877327.88,1,1,0,721899.51,1,False,False,False,False,True
319,27,6,0.0,1,1,1,1455669.32,0,False,True,False,False,True
503,28,1,0.0,2,1,0,645935.31,0,False,True,False,False,True
596,58,8,124971.48,1,0,1,1713507.87,0,True,False,False,False,False
486,41,4,1253238.09,2,0,0,1801562.73,0,False,False,False,True,True
349,28,0,576023.53,2,1,0,1345745.4,0,False,False,True,False,False
501,45,2,0.0,1,1,1,1721940.24,0,False,False,True,False,True
722,48,3,1437607.95,1,1,1,1801254.98,0,False,True,False,False,True
457,48,2,820262.95,2,1,1,2296549.34,1,False,False,True,False,False
464,51,5,1374235.07,2,1,1,2117071.7,0,False,True,False,False,True
602,56,5,285932.06,2,1,0,2087308.32,1,True,False,False,False,True
425,45,9,0.0,1,1,1,230412.75,0,False,True,False,False,False
612,61,6,0.0,1,1,1,789738.39,1,False,False,False,False,False
561,57,8,297087.98,2,0,0,628072.31,0,False,True,False,False,False
893,58,9,683707.42,1,1,1,2485711.48,1,False,True,False,False,False
743,32,8,425748.44,2,0,1,1488297.16,0,False,True,False,False,False
780,57,6,192509.16,1,1,0,583916.8,1,True,False,False,False,True
632,57,0,0.0,2,1,0,1503447.22,0,False,False,False,False,True
587,51,2,390753.62,1,0,1,1790549.66,0,True,False,False,False,False
702,38,4,0.0,2,0,0,2090069.56,1,True,False,False,False,True
330,46,9,0.0,2,1,1,827128.49,0,False,False,True,False,False
855,26,5,1283904.93,1,0,0,1474035.22,0,False,False,True,False,False
706,29,5,691336.62,1,1,1,880215.1,0,False,False,True,False,True
787,31,4,0.0,2,0,0,1224369.4,0,False,False,True,False,False
326,51,5,1235145.52,2,1,1,1124406.47,0,False,False,True,False,True
801,22,8,1133582.61,2,0,1,676410.87,0,False,False,False,True,True
449,49,0,928060.35,1,0,1,860387.29,1,False,False,True,False,False
624,62,0,0.0,2,0,1,776319.46,0,False,False,False,False,True
579,25,8,1144475.26,1,1,0,2062617.86,0,False,False,False,True,True
588,43,7,34010.28,1,1,1,517526.82,0,False,False,True,False,True
875,56,8,423358.33,1,1,0,2435098.54,1,False,False,False,True,False
853,27,6,1293365.32,1,0,1,1112160.7,0,False,False,False,False,False
501,33,9,0.0,1,0,1,703570.71,1,False,False,True,False,False
871,62,5,946296.19,2,1,0,1949454.67,0,False,False,False,True,False
661,30,8,0.0,1,0,0,393577.49,1,False,True,False,False,True
606,56,1,646388.89,1,1,1,2071467.22,0,True,False,False,False,False
676,36,3,1030876.78,1,1,1,901056.58,0,False,False,False,True,False
364,35,1,62028.04,2,1,1,578542.56,0,False,False,False,True,True
833,63,5,749331.68,1,0,1,2139924.48,0,False,False,False,False,True
577,39,0,0.0,1,1,1,1561140.68,0,False,False,True,False,False
773,41,6,1127440.21,1,1,1,1429300.68,0,False,False,False,True,False
747,55,6,0.0,1,1,1,873213.35,0,False,False,False,True,False
682,35,6,0.0,1,1,1,1341404.66,0,True,False,False,False,False
323,34,3,0.0,1,0,0,1992045.98,0,False,False,False,False,True
841,49,7,0.0,1,0,0,1286794.63,1,False,False,False,False,False
339,25,4,1195235.04,1,1,1,1643742.05,0,False,False,False,True,True
380,38,1,0.0,1,1,1,270116.47,0,False,False,False,False,True
883,21,4,0.0,2,0,0,1555621.45,0,True,False,False,False,False
781,47,9,0.0,2,0,1,715624.0,0,True,False,False,False,True
542,47,8,906314.26,2,0,1,1885795.04,1,False,False,False,False,False
617,45,9,1443045.74,3,1,0,907477.25,0,False,False,False,True,True
